sku_id,dc_total_stock,dc_reserved_stock,dc_blocked_stock,dc_safety_stock,dc_inbound_qty_next_7d,dc_free_stock
SKU000771,237,45,10,16,0,166
SKU000772,411,1,12,18,50,380
SKU000773,35,23,0,9,0,3
SKU000774,420,76,15,11,150,318
SKU000775,549,72,5,21,0,451
SKU000776,614,80,22,29,150,483
SKU000777,946,88,4,26,0,828
SKU000778,650,88,10,59,150,493
SKU000779,2,2,0,29,100,0
SKU000780,655,64,18,50,0,523
SKU000781,15,9,1,52,50,0
SKU000782,775,10,1,13,0,751
SKU000783,510,19,12,18,150,461
SKU000784,38,38,0,52,0,0
SKU000785,137,82,25,53,0,0
SKU000786,533,53,20,57,0,403
SKU000787,42,21,7,18,100,0
SKU000788,55,42,3,56,150,0
SKU000789,712,77,12,38,0,585
SKU000790,187,0,2,60,50,125
SKU000791,71,6,20,14,0,31
SKU000792,128,75,17,58,250,0
SKU000793,209,10,13,51,50,135
SKU000794,318,25,7,32,0,254
SKU000795,620,36,18,33,150,533
SKU000796,206,61,2,28,50,115
SKU000797,386,56,13,37,100,280
SKU000798,752,19,25,35,0,673
SKU000799,780,10,24,24,100,722
SKU000800,550,22,8,29,50,491
SKU000801,313,48,17,43,50,205
SKU000802,73,60,3,14,0,0
SKU000803,64,47,15,30,50,0
SKU000804,404,47,12,36,0,309
SKU000805,656,9,13,7,0,627
SKU000806,394,20,6,53,50,315
SKU000807,261,44,16,50,50,151
SKU000808,650,89,1,46,50,514
SKU000809,948,31,7,35,0,875
SKU000810,943,80,22,48,0,793
SKU000811,714,18,8,43,50,645
SKU000812,697,31,19,42,150,605
SKU000813,861,14,24,10,150,813
SKU000814,728,50,22,42,0,614
SKU000815,530,54,5,58,50,413
SKU000816,258,64,17,47,50,130
SKU000817,600,52,24,51,250,473
SKU000818,91,73,11,57,0,0
SKU000819,275,50,22,24,0,179
SKU000820,172,0,3,9,250,160
SKU000821,713,53,20,23,150,617
SKU000822,441,47,5,50,0,339
SKU000823,202,64,3,33,100,102
SKU000824,833,25,1,52,0,755
SKU000825,828,33,13,33,150,749
SKU000826,934,81,5,10,0,838
SKU000827,87,35,2,26,0,24
SKU000828,599,62,21,53,0,463
SKU000829,0,0,0,18,100,0
SKU000830,77,66,4,36,50,0
SKU000831,775,54,10,28,150,683
SKU000832,911,40,7,28,150,836
SKU000833,408,7,11,60,0,330
SKU000834,825,58,22,30,150,715
SKU000835,855,17,0,43,0,795
SKU000836,889,89,24,57,0,719
SKU000837,377,87,21,60,50,209
SKU000838,527,24,0,45,250,458
SKU000839,46,2,25,52,0,0
SKU000840,694,77,15,30,150,572
SKU000841,627,44,13,35,150,535
SKU000842,877,12,23,29,0,813
SKU000843,621,18,16,41,250,546
SKU000844,877,4,4,36,250,833
SKU000845,89,86,3,15,50,0
SKU000846,118,69,7,20,0,22
SKU000847,174,84,22,10,0,58
SKU000848,445,3,5,25,50,412
SKU000849,784,32,21,35,150,696
SKU000850,126,68,20,51,50,0
SKU000851,92,42,7,41,250,2
SKU000852,946,82,10,29,150,825
SKU000853,760,48,20,46,250,646
SKU000854,575,55,25,19,0,476
SKU000855,265,11,3,10,0,241
SKU000856,758,24,23,12,100,699
SKU000857,376,40,12,41,150,283
SKU000858,1,0,1,32,0,0
SKU000859,789,86,25,13,100,665
SKU000860,679,28,3,30,0,618
SKU000861,551,40,4,57,0,450
SKU000862,857,87,14,14,100,742
SKU000863,290,85,25,57,150,123
SKU000864,35,19,16,49,0,0
SKU000865,280,90,18,35,150,137
SKU000866,848,37,22,29,0,760
SKU000867,829,26,23,56,0,724
SKU000868,717,22,15,51,50,629
SKU000869,306,84,5,6,100,211
SKU000870,401,86,15,27,250,273
SKU000871,400,67,23,23,0,287
SKU000872,713,89,17,30,0,577
SKU000873,134,74,25,8,250,27
SKU000874,726,83,5,41,0,597
SKU000875,452,37,4,18,0,393
SKU000876,823,83,0,28,150,712
SKU000877,876,86,25,59,0,706
SKU000878,385,54,21,58,0,252
SKU000879,45,30,5,8,0,2
SKU000880,527,75,13,14,150,425
SKU000881,739,4,3,20,50,712
SKU000882,500,76,5,46,150,373
SKU000883,384,85,21,10,250,268
SKU000884,474,83,12,22,150,357
SKU000885,668,1,3,12,0,652
SKU000886,124,85,16,19,0,4
SKU000887,600,73,15,22,150,490
SKU000888,763,75,5,29,50,654
SKU000889,660,38,18,13,0,591
SKU000890,68,23,12,57,150,0
SKU000891,20,17,3,9,100,0
SKU000892,857,83,3,53,250,718
SKU000893,212,15,5,60,100,132
SKU000894,711,71,14,56,0,570
SKU000895,73,26,20,15,0,12
SKU000896,575,4,2,12,100,557
SKU000897,305,69,5,32,150,199
SKU000898,0,0,0,47,100,0
SKU000899,455,62,22,25,100,346
SKU000900,932,45,19,39,100,829
SKU000901,214,84,1,20,0,109
SKU000902,192,27,4,43,100,118
SKU000903,221,35,4,51,100,131
SKU000904,32,16,12,46,0,0
SKU000905,409,32,21,32,150,324
SKU000906,146,9,20,51,0,66
SKU000907,648,24,22,28,100,574
SKU000908,673,65,19,15,50,574
SKU000909,841,55,12,6,100,768
SKU000910,15,3,10,40,50,0
SKU000911,67,11,11,26,250,19
SKU000912,279,28,8,5,0,238
SKU000913,386,28,12,11,250,335
SKU000914,947,67,23,24,100,833
SKU000915,841,12,16,27,150,786
SKU000916,585,70,8,43,0,464
SKU000917,40,24,5,27,250,0
SKU000918,759,68,17,43,250,631
SKU000919,412,16,8,5,150,383
SKU000920,525,84,4,14,50,423
SKU000921,581,6,23,45,0,507
SKU000922,724,86,19,31,150,588
SKU000923,468,45,25,34,100,364
SKU000924,293,54,16,50,250,173
SKU000925,234,11,9,31,250,183
SKU000926,320,81,2,9,150,228
SKU000927,245,21,18,8,0,198
SKU000928,761,63,25,60,0,613
SKU000929,434,17,15,36,100,366
SKU000930,701,68,22,12,50,599
SKU000931,14,14,0,50,50,0
SKU000932,719,44,7,52,150,616
SKU000933,942,67,21,43,0,811
SKU000934,621,21,21,53,100,526
SKU000935,925,9,11,58,0,847
SKU000936,526,6,13,36,50,471
SKU000937,174,14,10,48,0,102
SKU000938,851,15,9,24,50,803
SKU000939,300,0,23,45,100,232
SKU000940,403,39,20,37,250,307
SKU000941,59,57,2,59,50,0
SKU000942,58,39,14,26,0,0
SKU000943,362,44,23,16,50,279
SKU000944,55,31,6,10,100,8
SKU000945,526,52,3,36,0,435
SKU000946,159,32,7,35,50,85
SKU000947,383,54,5,39,250,285
SKU000948,275,56,21,58,50,140
SKU000949,165,55,0,27,250,83
SKU000950,726,24,9,7,0,686
SKU000951,404,42,1,15,150,346
SKU000952,203,85,8,12,50,98
SKU000953,500,87,22,13,0,378
SKU000954,769,51,16,51,150,651
SKU000955,863,16,3,11,250,833
SKU000956,21,11,8,5,250,0
SKU000957,700,86,10,32,100,572
SKU000958,61,18,9,36,0,0
SKU000959,779,79,4,51,100,645
SKU000960,191,14,8,49,0,120
SKU000961,682,25,15,50,250,592
SKU000962,829,64,19,16,0,730
SKU000963,875,81,4,19,0,771
SKU000964,135,35,6,14,50,80
SKU000965,18,2,1,29,50,0
SKU000966,537,81,7,19,0,430
SKU000967,436,65,13,46,0,312
SKU000968,311,46,8,27,150,230
SKU000969,428,6,5,7,0,410
SKU000970,53,20,6,23,50,4
SKU000971,286,12,13,16,0,245
SKU000972,503,38,3,11,150,451
SKU000973,13,12,0,26,0,0
SKU000974,759,75,16,43,0,625
SKU000975,243,26,18,29,0,170
SKU000976,908,80,23,43,0,762
SKU000977,42,41,0,17,150,0
SKU000978,456,9,17,44,0,386
SKU000979,308,25,17,51,0,215
SKU000980,44,26,17,50,0,0
SKU000981,912,71,11,28,50,802
SKU000982,644,55,2,35,50,552
SKU000983,536,64,25,6,0,441
SKU000984,613,16,9,7,100,581
SKU000985,62,44,6,52,250,0
SKU000986,407,68,16,9,0,314
SKU000987,448,49,17,54,50,328
SKU000988,410,26,5,5,0,374
SKU000989,585,89,0,55,100,441
SKU000990,466,67,8,24,250,367
SKU000991,225,34,17,12,0,162
SKU000992,30,9,1,45,0,0
SKU000993,904,17,8,60,250,819
SKU000994,52,15,6,39,0,0
SKU000995,1,1,0,10,150,0
SKU000996,905,17,13,44,0,831
SKU000997,332,80,0,57,0,195
SKU000998,224,35,5,21,0,163
SKU000999,550,74,3,51,150,422
SKU001000,704,83,8,60,150,553
SKU001001,649,26,14,19,0,590
SKU001002,275,80,25,59,250,111
SKU001003,404,29,23,51,50,301
SKU001004,377,61,2,36,0,278
SKU001005,470,22,6,41,50,401
SKU001006,746,36,0,24,0,686
SKU001007,906,50,21,43,0,792
SKU001008,71,54,7,34,150,0
SKU001009,412,67,4,51,250,290
SKU001010,12,6,3,6,0,0
SKU001011,5,1,1,54,0,0
SKU001012,274,80,19,5,250,170
SKU001013,9,1,8,52,250,0
SKU001014,346,10,6,13,50,317
SKU001015,777,56,5,24,0,692
SKU001016,490,7,17,49,0,417
SKU001017,642,2,1,11,100,628
SKU001018,303,53,4,5,0,241
SKU001019,24,12,2,27,150,0
SKU001020,293,87,12,48,150,146
SKU001021,842,62,5,12,0,763
SKU001022,104,36,11,9,100,48
SKU001023,341,10,1,43,0,287
SKU001024,182,42,19,16,150,105
SKU001025,435,85,21,24,100,305
SKU001026,837,13,8,36,150,780
SKU001027,377,9,25,5,250,338
SKU001028,152,18,10,14,50,110
SKU001029,457,61,2,12,100,382
SKU001030,437,35,4,10,0,388
SKU001031,130,49,11,25,50,45
SKU001032,434,52,19,55,150,308
SKU001033,341,83,7,29,50,222
SKU001034,562,68,15,39,100,440
SKU001035,841,10,18,50,50,763
SKU001036,539,88,25,52,0,374
SKU001037,719,46,0,18,250,655
SKU001038,17,15,0,12,0,0
SKU001039,933,17,9,34,0,873
SKU001040,855,53,7,18,250,777
SKU001041,17,3,11,50,0,0
SKU001042,386,89,13,28,0,256
SKU001043,718,74,2,35,250,607
SKU001044,608,3,4,28,0,573
SKU001045,80,1,18,58,250,3
SKU001046,426,23,15,52,0,336
SKU001047,766,38,15,31,150,682
SKU001048,345,82,22,5,0,236
SKU001049,113,82,1,43,250,0
SKU001050,177,1,12,58,50,106
SKU001051,696,58,17,50,250,571
SKU001052,264,64,9,50,0,141
SKU001053,433,34,2,38,50,359
SKU001054,128,51,19,8,0,50
SKU001055,401,71,19,58,0,253
SKU001056,836,61,10,46,150,719
SKU001057,414,21,1,56,0,336
SKU001058,662,34,3,11,0,614
SKU001059,371,42,0,20,0,309
SKU001060,166,8,6,43,0,109
SKU001061,774,24,17,17,150,716
SKU001062,33,5,18,41,0,0
SKU001063,577,61,1,8,0,507
SKU001064,95,1,11,53,0,30
SKU001065,407,40,24,30,150,313
SKU001066,364,89,21,11,0,243
SKU001067,417,64,3,37,250,313
SKU001068,793,75,25,29,50,664
SKU001069,600,4,9,15,0,572
SKU001070,698,80,2,50,0,566
SKU001071,905,87,20,14,250,784
SKU001072,735,64,16,51,100,604
SKU001073,667,43,14,55,0,555
SKU001074,347,79,13,7,150,248
SKU001075,792,30,6,44,100,712
SKU001076,76,72,3,11,250,0
SKU001077,15,9,4,60,250,0
SKU001078,800,63,3,34,0,700
SKU001079,173,20,2,22,100,129
SKU001080,372,9,5,50,250,308
SKU001081,471,60,8,53,50,350
SKU001082,665,15,18,36,0,596
SKU001083,372,51,13,59,100,249
SKU001084,939,56,11,37,250,835
SKU001085,639,47,2,48,50,542
SKU001086,518,87,1,44,150,386
SKU001087,58,15,22,57,100,0
SKU001088,8,1,4,29,0,0
SKU001089,583,9,7,29,250,538
SKU001090,473,44,14,34,150,381
SKU001091,547,59,3,10,0,475
SKU001092,749,50,24,32,0,643
SKU001093,411,40,10,43,50,318
SKU001094,217,60,3,22,50,132
SKU001095,39,30,2,45,0,0
SKU001096,327,76,24,29,0,198
SKU001097,827,55,15,18,0,739
SKU001098,216,87,13,22,0,94
SKU001099,650,18,2,22,50,608
SKU001100,83,57,13,38,0,0
SKU001101,685,23,1,10,50,651
SKU001102,350,38,5,17,0,290
SKU001103,429,68,22,55,0,284
SKU001104,713,88,18,29,250,578
SKU001105,10,9,0,9,150,0
SKU001106,683,18,10,47,250,608
SKU001107,751,40,0,14,50,697
SKU001108,151,40,3,55,150,53
SKU001109,416,0,14,58,250,344
SKU001110,128,81,18,11,0,18
SKU001111,223,24,13,49,100,137
SKU001112,792,48,6,27,0,711
SKU001113,195,73,0,28,250,94
SKU001114,39,32,1,49,50,0
SKU001115,664,52,13,27,0,572
SKU001116,848,66,24,26,0,732
SKU001117,948,54,11,16,100,867
SKU001118,609,55,12,23,250,519
SKU001119,675,55,20,23,150,577
SKU001120,635,12,2,56,250,565
SKU001121,106,2,19,31,0,54
SKU001122,508,79,17,11,150,401
SKU001123,454,4,21,23,250,406
SKU001124,430,58,17,29,0,326
SKU001125,200,15,11,55,50,119
SKU001126,422,82,22,55,150,263
SKU001127,47,14,16,23,0,0
SKU001128,900,39,25,31,150,805
SKU001129,53,2,0,6,0,45
SKU001130,809,66,23,43,0,677
SKU001131,343,73,13,20,100,237
SKU001132,400,82,12,58,0,248
SKU001133,820,54,4,45,50,717
SKU001134,745,40,16,15,50,674
SKU001135,236,16,16,12,150,192
SKU001136,590,80,8,58,100,444
SKU001137,162,26,2,10,0,124
SKU001138,75,19,0,44,150,12
SKU001139,556,10,18,29,0,499
SKU001140,760,58,20,45,250,637
SKU001141,366,83,7,24,0,252
SKU001142,548,48,24,21,150,455
SKU001143,52,9,20,6,150,17
SKU001144,593,14,14,43,0,522
SKU001145,109,33,5,10,0,61
SKU001146,506,26,12,11,50,457
SKU001147,9,7,2,9,0,0
SKU001148,703,40,20,33,250,610
SKU001149,164,1,5,47,100,111
SKU001150,646,4,3,26,0,613
SKU001151,495,76,17,5,0,397
SKU001152,534,15,6,43,0,470
SKU001153,65,19,6,60,0,0
SKU001154,117,3,10,13,0,91
SKU001155,85,16,8,22,50,39
SKU001156,204,44,22,40,150,98
SKU001157,301,63,13,37,50,188
SKU001158,944,22,6,48,250,868
SKU001159,908,50,3,42,250,813
SKU001160,784,21,25,18,150,720
SKU001161,499,57,13,43,150,386
SKU001162,278,79,3,43,50,153
SKU001163,439,45,11,45,250,338
SKU001164,65,4,16,21,100,24
SKU001165,419,82,16,27,50,294
SKU001166,30,25,2,32,250,0
SKU001167,190,9,6,47,0,128
SKU001168,380,40,3,5,0,332
SKU001169,42,13,14,41,250,0
SKU001170,329,71,2,29,0,227
SKU001171,616,27,3,40,0,546
SKU001172,733,85,2,41,150,605
SKU001173,431,55,10,57,0,309
SKU001174,202,63,15,7,0,117
SKU001175,431,57,5,43,0,326
SKU001176,605,73,0,23,0,509
SKU001177,659,73,0,34,0,552
SKU001178,134,51,1,39,100,43
SKU001179,40,1,2,35,0,2
SKU001180,849,38,8,25,250,778
SKU001181,354,71,24,25,50,234
SKU001182,38,29,7,59,150,0
SKU001183,932,47,19,11,0,855
SKU001184,1,0,0,25,250,0
SKU001185,704,28,5,10,0,661
SKU001186,741,47,17,5,150,672
SKU001187,5,0,0,24,0,0
SKU001188,270,78,25,56,50,111
SKU001189,276,17,18,34,0,207
SKU001190,129,18,24,42,250,45
SKU001191,916,57,21,12,100,826
SKU001192,540,61,21,36,0,422
SKU001193,329,61,7,10,0,251
SKU001194,784,10,11,40,250,723
SKU001195,893,82,23,59,0,729
SKU001196,63,7,6,5,150,45
SKU001197,221,49,6,36,0,130
SKU001198,348,75,24,38,100,211
SKU001199,879,39,22,34,150,784
SKU001200,157,13,4,19,0,121
